Category	Subtype	RegularExpression
anatomy	abi	abi\'?s?
anatomy	abi	(ankle[ \t]*)?brachial[ \t]*ind(ex|ices)
anatomy	abi	ankle[ \t]*[/-][ \t]*brachial
anatomy	abi	abi[ \t]*[/-][ \t]*rest
anatomy	abi	abix
anatomy	abi	brachial.?index
anatomy	abi	ankle
anatomy	abi	abi[ \t]*value
anatomy	abi	abi[ \t]*\\(numeric value\\)
anatomy	abi	a[ \t]*\\/?[ \t]*a[ \t]*(ratio|i)?
anatomy	abi	ankle[ \t]*[\\/\\-]?[ \t]*arm[ \t]*(press\\.?(ure)?|ind(ex|ices))
anatomy	tbi	tbi\'?s?
anatomy	tbi	toe[ \t]*brachial[ \t]*ind(ex|ices).?
anatomy	tbi	\\d-\\d[ \t]*toes
anatomy	tbi	toe[ \t]*ind(ex|ices)
anatomy	tbi	toe[ \t]*pressure.?
anatomy	tbi	toe[ \t]*[/-][ \t]*brachial[ \t]*ind(ex|ices).?
anatomy	tbi	toe-brachial[ \t]*ind(ex|ices)
anatomy	tbi	toe[ \t]*press\\.?(ure)?
anatomy	tbi	hallux[ \t]*[/-][ \t]*brachial
anatomy	tbi	d\\.?b\\.?i\\.?
anatomy	tbi	(toe|digit(al)?)[ \t]*[\\/\\-]?[ \t]*(arm|brachial)[ \t]*(press\\.?(ure)?|ind(ex|ices))
anatomy	tbi	(toe|digit(al)?)[ \t]*abis?
laterality	right	right(?=:|-|\\.|~|;|\\b|\\.:)
laterality	right	(?<=(\\d|\\b))r(:|-|\\.|~|;|\\b|\\)|:|p|d)
laterality	right	\\(r\\)
laterality	right	\\brt(:|-|\\.|~|;|\\b|\\.:)
laterality	right	right-?
laterality	right	rt(:|-|\\.|~|;|\\b|\\.:)
laterality	right	rle(:|-|\\.|~|;|\\b|\\.:)
laterality	right	rdp
laterality	right	rpt
laterality	right	right[ \t]*\\-?[ \t]*sided?
laterality	left	left(?=:|-|\\.|~|;|\\b)
laterality	left	(?<=(\\d|\\b))l(:|-|\\.|~|;|\\b|\\.:|\\)|p|d)
laterality	left	\\(l\\)
laterality	left	left-?
laterality	left	lle(:|-|\\.|~|;|\\b)
laterality	left	lf?t(:|-|\\.|~|;|\\b|\\.:)
laterality	left	ldp
laterality	left	lpt
laterality	left	\\(?(l|r)\\)?
laterality	left	left[ \t]*\\-?[ \t]*sided?
laterality	bilateral	bilateral(ly)?
laterality	bilateral	bl
laterality	bilateral	both[ \t]*extremities
laterality	bilateral	right[ \t]*and[ \t]*left[ \t]*(sides)?
laterality	bilateral	b\\/l
laterality	bilateral	both[ \t]*sides
laterality	bilateral	bi
negativeIndexinformation	nonIndexArtery	c\\.?f\\.?a\\.?
negativeIndexinformation	nonIndexArtery	(common[ \t]*)?femoral[ \t]*art(er(y|ies)?)?
negativeIndexinformation	nonIndexArtery	(distal[ \t]*)?popliteal[ \t]*(art(er(y|ies))?)?
negativeIndexinformation	nonIndexArtery	s\\.?f\\.?a\\.?
negativeIndexinformation	nonIndexArtery	profundal[ \t]*(art(er(y|ies))?)?
negativeIndexinformation	nonIndexArtery	pop\\.?
negativeIndexinformation	nonIndexArtery	peroneal[ \t]*(art(er(y|ies))?)?
negativeIndexinformation	nonIndexArtery	lower[ \t]*extremity[ \t]*(art(er(y|ies))?)?
negativeIndexinformation	nonIndexArtery	i\\.?c\\.?(a\\.?)?
negativeIndexinformation	nonIndexArtery	(ext|int)\\.?(ernal)?[ \t]*carotid[ \t]*(art(er(y|ies))?)?
negativeIndexinformation	nonIndexArtery	fem
negativeIndexinformation	otherIndexType	(radial|ulnar)[ \t]*(ind(ex|ices))?
negativeIndexinformation	indexValueInterpretation	acceptable
negativeIndexinformation	indexValueInterpretation	(borderline[ \t]*)?normal
negativeIndexinformation	indexValueInterpretation	diminished
negativeIndexinformation	indexValueInterpretation	mild[ \t]*((to|\\/)?[ \t]*moderate)?
negativeIndexinformation	indexValueInterpretation	moderate[ \t]*(to|\\/)?[ \t]*mild
negativeIndexinformation	indexValueInterpretation	(mild(ly)?|mod(\\.|erate(ly)?)?)[ \t]*(obstruct(ed|ion)?|reduc(ed|tion))
negativeIndexinformation	indexValueInterpretation	mod(\\.|erate)?
negativeIndexinformation	indexValueInterpretation	mod(\\.|erately)?[ \t]*severe
negativeIndexinformation	indexValueInterpretation	not?[ \t]*sig(\\.|nificant)?
